Category,License,Dependency,Notes
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.lz4 # lz4-java # 1.5.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.quartz-scheduler # quartz # 2.3.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.xerial.snappy # snappy-java # 1.1.4,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.xerial.snappy # snappy-java # 1.1.7.2,
Apache,"The Apache Software License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.module # jackson-module-scala_2.11 # 2.10.1,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalactic # scalactic_2.11 # 3.0.4,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest_2.11 # 3.0.4,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.html),org.mongodb.scala # mongo-scala-bson_2.11 # 2.8.0,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.html),org.mongodb.scala # mongo-scala-driver_2.11 # 2.8.0,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.html),org.scalanlp # breeze-macros_2.11 # 0.13.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.html),org.scalanlp # breeze_2.11 # 0.13.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.chuusai # shapeless_2.11 # 2.3.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.twitter # chill-java # 0.9.3,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.twitter # chill_2.11 # 0.9.3,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.univocity # univocity-parsers # 2.7.3,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),io.spray # spray-json_2.11 # 1.3.3,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),joda-time # joda-time # 2.9.9,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),net.sf.opencsv # opencsv # 2.3,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.solr # solr-solrj # 7.4.0.7.0.3.0-79,
